id,Self+AC0-identity weight (alpha),Gender,Age of the household member,Income Quartile,Education Level,Personal net monthly income in Euros (incl. nettocat),Personal net monthly income in categories,Highest level of education irrespective of diploma,Highest level of education with diploma,Level of education in CBS (Statistics Netherlands) categories
800637,1,Female,59,1,3,550,EUR 501 to EUR 1000,+ACI-mbo (intermediate vocational education, US: junior college)+ACI-,+ACI-mbo (intermediate vocational education, US: junior college)+ACI-,+ACI-mbo (intermediate vocational education, US: junior college)+ACI-
800640,1,Male,30,4,4,2250,EUR 2001 to EUR 2500,wo (university),wo (university),wo (university)
800643,1,Female,79,2,2,1256,EUR 1001 to EUR 1500,+ACI-vmbo (intermediate secondary education, US: junior high school)+ACI-,+ACI-vmbo (intermediate secondary education, US: junior high school)+ACI-,+ACI-vmbo (intermediate secondary education, US: junior high school)+ACI-
800659,1,Male,71,3,2,1854,EUR 1501 to EUR 2000,+ACI-havo/vwo (higher secondary education/preparatory university education, US: senio+ACI-,+ACI-havo/vwo (higher secondary education/preparatory university education, US: senio+ACI-,+ACI-havo/vwo (higher secondary education/preparatory university education, US: senio+ACI-
800671,1,Male,58,2,3,1250,EUR 1001 to EUR 1500,+ACI-mbo (intermediate vocational education, US: junior college)+ACI-,+ACI-mbo (intermediate vocational education, US: junior college)+ACI-,+ACI-mbo (intermediate vocational education, US: junior college)+ACI-
800674,1,Male,54,4,4,2100,EUR 2001 to EUR 2500,wo (university),+ACI-hbo (higher vocational education, US: college)+ACI-,+ACI-hbo (higher vocational education, US: college)+ACI-
800695,1,Female,69,2,2,1250,EUR 1001 to EUR 1500,+ACI-vmbo (intermediate secondary education, US: junior high school)+ACI-,+ACI-vmbo (intermediate secondary education, US: junior high school)+ACI-,+ACI-vmbo (intermediate secondary education, US: junior high school)+ACI-
800750,1,Female,48,3,4,1700,EUR 1501 to EUR 2000,wo (university),wo (university),wo (university)
800762,1,Female,40,3,4,1350,EUR 1001 to EUR 1500,+ACI-hbo (higher vocational education, US: college)+ACI-,+ACI-hbo (higher vocational education, US: college)+ACI-,+ACI-hbo (higher vocational education, US: college)+ACI-
800790,1,Female,76,2,2,685,EUR 501 to EUR 1000,+ACI-vmbo (intermediate secondary education, US: junior high school)+ACI-,+ACI-vmbo (intermediate secondary education, US: junior high school)+ACI-,+ACI-vmbo (intermediate secondary education, US: junior high school)+ACI-
800848,1,Male,24,1,2,Prefer not to say,I prefer not to say,+ACI-hbo (higher vocational education, US: college)+ACI-,+ACI-vmbo (intermediate secondary education, US: junior high school)+ACI-,+ACI-vmbo (intermediate secondary education, US: junior high school)+ACI-
800869,1,Male,55,1,2,I dont know,I really dont know,+ACI-vmbo (intermediate secondary education, US: junior high school)+ACI-,+ACI-vmbo (intermediate secondary education, US: junior high school)+ACI-,+ACI-vmbo (intermediate secondary education, US: junior high school)+ACI-
