gender,age_group,incquart,educlevel,pmf for 0.0,pmf for 0.33,pmf for 0.67,pmf for 1.0
Female,70+,3,2,0.1111111111111111,0.2962962962962963,0.4074074074074074,0.18518518518518517
Female,70+,3,3,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.14285714285714285
Female,70+,3,4,0.15384615384615385,0.5,0.23076923076923078,0.11538461538461539
Female,70+,4,1,0.0,0.75,0.25,0.0
Female,70+,4,2,0.09090909090909091,0.45454545454545453,0.45454545454545453,0.0
Female,70+,4,3,0.2,0.4,0.4,0.0
Female,70+,4,4,0.2,0.3333333333333333,0.4,0.06666666666666667
Male,18–29,1,1,0.0,0.0,0.5,0.5
Male,18–29,1,2,0.21428571428571427,0.14285714285714285,0.32142857142857145,0.32142857142857145
Male,18–29,1,3,0.2,0.2,0.4,0.2
Male,18–29,1,4,0.2,0.4,0.13333333333333333,0.26666666666666666
Male,18–29,2,1,0.0,0.0,0.0,0.0
Male,18–29,2,2,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333
Male,18–29,2,3,0.25,0.25,0.0,0.5
Male,18–29,2,4,1.0,0.0,0.0,0.0
Male,18–29,3,1,0.0,0.0,0.0,0.0
Male,18–29,3,2,0.0,0.0,0.0,0.0
Male,18–29,3,3,0.0,0.25,0.5,0.25
Male,18–29,3,4,0.3125,0.25,0.1875,0.25
Male,18–29,4,1,0.0,0.0,0.0,0.0
Male,18–29,4,2,0.0,0.0,0.0,0.0
Male,18–29,4,3,0.0,0.0,0.0,1.0
Male,18–29,4,4,0.16666666666666666,0.5,0.3333333333333333,0.0
Male,30–39,1,1,0.0,0.0,0.0,0.0
Male,30–39,1,2,0.0,0.3333333333333333,0.0,0.6666666666666666
Male,30–39,1,3,0.0,0.3333333333333333,0.6666666666666666,0.0
Male,30–39,1,4,0.25,0.5,0.25,0.0
Male,30–39,2,1,0.0,1.0,0.0,0.0
Male,30–39,2,2,0.0,0.3333333333333333,0.5,0.16666666666666666
Male,30–39,2,3,0.2,0.8,0.0,0.0
Male,30–39,2,4,0.0,0.0,0.8333333333333334,0.16666666666666666
Male,30–39,3,1,0.0,0.0,0.0,0.0
Male,30–39,3,2,0.0,0.2,0.4,0.4
Male,30–39,3,3,0.05263157894736842,0.21052631578947367,0.5263157894736842,0.21052631578947367
Male,30–39,3,4,0.35714285714285715,0.2857142857142857,0.2857142857142857,0.07142857142857142
Male,30–39,4,1,0.0,0.0,0.0,0.0
Male,30–39,4,2,0.0,0.0,1.0,0.0
Male,30–39,4,3,0.0,0.14285714285714285,0.7142857142857143,0.14285714285714285
Male,30–39,4,4,0.11627906976744186,0.32558139534883723,0.4186046511627907,0.13953488372093023
Male,40–49,1,1,0.5,0.0,0.5,0.0
Male,40–49,1,2,0.0,0.2857142857142857,0.5714285714285714,0.14285714285714285
Male,40–49,1,3,0.25,0.25,0.5,0.0
Male,40–49,1,4,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
Male,40–49,2,1,0.5,0.0,0.0,0.5
Male,40–49,2,2,0.25,0.25,0.5,0.0
Male,40–49,2,3,0.0,0.2,0.6,0.2
Male,40–49,2,4,0.0,0.3333333333333333,0.6666666666666666,0.0
Male,40–49,3,1,0.0,1.0,0.0,0.0
Male,40–49,3,2,0.1,0.4,0.2,0.3
Male,40–49,3,3,0.07692307692307693,0.46153846153846156,0.3076923076923077,0.15384615384615385
Male,40–49,3,4,0.13333333333333333,0.3333333333333333,0.5333333333333333,0.0
Male,40–49,4,1,0.0,0.0,0.0,0.0
Male,40–49,4,2,0.3333333333333333,0.0,0.5,0.16666666666666666
Male,40–49,4,3,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857
Male,40–49,4,4,0.12244897959183673,0.2857142857142857,0.3673469387755102,0.22448979591836735
Male,50–59,1,1,0.2,0.2,0.4,0.2
Male,50–59,1,2,0.1111111111111111,0.2222222222222222,0.4444444444444444,0.2222222222222222
Male,50–59,1,3,0.0,0.4,0.2,0.4
Male,50–59,1,4,0.2,0.4,0.3,0.1
Male,50–59,2,1,0.0,0.6666666666666666,0.3333333333333333,0.0
Male,50–59,2,2,0.0,0.2857142857142857,0.42857142857142855,0.2857142857142857
Male,50–59,2,3,0.0,0.3333333333333333,0.16666666666666666,0.5
Male,50–59,2,4,0.16666666666666666,0.5,0.16666666666666666,0.16666666666666666
Male,50–59,3,1,0.0,0.0,1.0,0.0
Male,50–59,3,2,0.125,0.2916666666666667,0.3333333333333333,0.25
Male,50–59,3,3,0.0,0.38461538461538464,0.3076923076923077,0.3076923076923077
Male,50–59,3,4,0.19047619047619047,0.47619047619047616,0.23809523809523808,0.09523809523809523
Male,50–59,4,1,0.5,0.5,0.0,0.0
Male,50–59,4,2,0.16666666666666666,0.3888888888888889,0.3333333333333333,0.1111111111111111
Male,50–59,4,3,0.0,0.6111111111111112,0.16666666666666666,0.2222222222222222
Male,50–59,4,4,0.16326530612244897,0.3673469387755102,0.3673469387755102,0.10204081632653061
Male,60–69,1,1,0.0,0.0,0.75,0.25
Male,60–69,1,2,0.2,0.3,0.4,0.1
Male,60–69,1,3,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.0
Male,60–69,1,4,0.3,0.3,0.2,0.2
Male,60–69,2,1,0.0,0.4,0.4,0.2
Male,60–69,2,2,0.0,0.36363636363636365,0.48484848484848486,0.15151515151515152
Male,60–69,2,3,0.0,0.25,0.5,0.25
Male,60–69,2,4,0.23076923076923078,0.23076923076923078,0.46153846153846156,0.07692307692307693
Male,60–69,3,1,0.0,0.5,0.5,0.0
Male,60–69,3,2,0.13043478260869565,0.391304347826087,0.4782608695652174,0.0
