gender,age_group,incquart,educlevel,pmf for 0.0,pmf for 0.17,pmf for 0.33,pmf for 0.5,pmf for 0.67,pmf for 0.83,pmf for 1.0
Female,50–59,4,2,0.0,0.07142857142857142,0.0,0.14285714285714285,0.21428571428571427,0.2857142857142857,0.2857142857142857
Female,50–59,4,3,0.0,0.0,0.0,0.25,0.125,0.5,0.125
Female,50–59,4,4,0.0,0.0,0.029411764705882353,0.08823529411764706,0.20588235294117646,0.35294117647058826,0.3235294117647059
Female,60–69,1,1,0.06896551724137931,0.06896551724137931,0.034482758620689655,0.1724137931034483,0.1724137931034483,0.41379310344827586,0.06896551724137931
Female,60–69,1,2,0.046296296296296294,0.037037037037037035,0.046296296296296294,0.1574074074074074,0.26851851851851855,0.2962962962962963,0.14814814814814814
Female,60–69,1,3,0.0,0.09090909090909091,0.2727272727272727,0.09090909090909091,0.36363636363636365,0.09090909090909091,0.09090909090909091
Female,60–69,1,4,0.0,0.0,0.1111111111111111,0.16666666666666666,0.2222222222222222,0.2777777777777778,0.2222222222222222
Female,60–69,2,1,0.15625,0.0,0.0625,0.09375,0.1875,0.25,0.25
Female,60–69,2,2,0.05128205128205128,0.03418803418803419,0.03418803418803419,0.18803418803418803,0.2222222222222222,0.2564102564102564,0.21367521367521367
Female,60–69,2,3,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.20833333333333334,0.20833333333333334,0.25,0.16666666666666666
Female,60–69,2,4,0.04,0.0,0.04,0.2,0.12,0.4,0.2
Female,60–69,3,1,0.2,0.0,0.0,0.2,0.4,0.0,0.2
Female,60–69,3,2,0.02857142857142857,0.02857142857142857,0.08571428571428572,0.2,0.17142857142857143,0.3142857142857143,0.17142857142857143
Female,60–69,3,3,0.125,0.0,0.0,0.125,0.125,0.25,0.375
Female,60–69,3,4,0.06896551724137931,0.034482758620689655,0.034482758620689655,0.1724137931034483,0.10344827586206896,0.3103448275862069,0.27586206896551724
Female,60–69,4,1,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
Female,60–69,4,2,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.0,0.047619047619047616,0.3333333333333333,0.42857142857142855
Female,60–69,4,3,0.0,0.0,0.14285714285714285,0.0,0.2857142857142857,0.5714285714285714,0.0
Female,60–69,4,4,0.02631578947368421,0.0,0.0,0.18421052631578946,0.18421052631578946,0.3684210526315789,0.23684210526315788
Female,70+,1,1,0.0,0.0,0.125,0.125,0.125,0.375,0.25
Female,70+,1,2,0.17647058823529413,0.0,0.0,0.29411764705882354,0.11764705882352941,0.23529411764705882,0.17647058823529413
Female,70+,1,3,0.0,0.0,0.0,0.0,0.25,0.25,0.5
Female,70+,1,4,0.0,0.0,0.0,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.14285714285714285
Female,70+,2,1,0.038461538461538464,0.057692307692307696,0.038461538461538464,0.09615384615384616,0.23076923076923078,0.2692307692307692,0.2692307692307692
Female,70+,2,2,0.061224489795918366,0.061224489795918366,0.07142857142857142,0.11224489795918367,0.2653061224489796,0.24489795918367346,0.1836734693877551
Female,70+,2,3,0.0,0.0,0.0,0.5,0.125,0.125,0.25
Female,70+,2,4,0.125,0.0,0.0,0.1875,0.25,0.25,0.1875
Female,70+,3,1,0.1,0.0,0.0,0.1,0.2,0.2,0.4
Female,70+,3,2,0.034482758620689655,0.06896551724137931,0.06896551724137931,0.06896551724137931,0.13793103448275862,0.27586206896551724,0.3448275862068966
Female,70+,3,3,0.0,0.0,0.0,0.5,0.5,0.0,0.0
Female,70+,3,4,0.0,0.0,0.0,0.09090909090909091,0.2727272727272727,0.36363636363636365,0.2727272727272727
Female,70+,4,1,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5
Female,70+,4,2,0.10526315789473684,0.0,0.0,0.15789473684210525,0.21052631578947367,0.3157894736842105,0.21052631578947367
Female,70+,4,3,0.0,0.0,0.0,0.0,0.25,0.5,0.25
Female,70+,4,4,0.0625,0.0,0.0,0.125,0.1875,0.4375,0.1875
Male,18–29,1,1,0.06666666666666667,0.0,0.06666666666666667,0.2,0.3333333333333333,0.26666666666666666,0.06666666666666667
Male,18–29,1,2,0.009708737864077669,0.02912621359223301,0.0970873786407767,0.2621359223300971,0.2621359223300971,0.2621359223300971,0.07766990291262135
Male,18–29,1,3,0.0,0.0,0.13333333333333333,0.3333333333333333,0.26666666666666666,0.13333333333333333,0.13333333333333333
Male,18–29,1,4,0.0,0.07142857142857142,0.0,0.35714285714285715,0.2857142857142857,0.21428571428571427,0.07142857142857142
Male,18–29,2,1,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0
Male,18–29,2,2,0.0,0.0,0.16,0.16,0.2,0.36,0.12
Male,18–29,2,3,0.1111111111111111,0.0,0.0,0.0,0.0,0.6666666666666666,0.2222222222222222
Male,18–29,2,4,0.0,0.0,0.25,0.25,0.0,0.375,0.125
Male,18–29,3,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Male,18–29,3,2,0.0,0.0,0.1,0.1,0.5,0.2,0.1
Male,18–29,3,3,0.06666666666666667,0.0,0.0,0.26666666666666666,0.4666666666666667,0.2,0.0
Male,18–29,3,4,0.0,0.0,0.03571428571428571,0.2857142857142857,0.42857142857142855,0.17857142857142858,0.07142857142857142
Male,18–29,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Male,18–29,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Male,18–29,4,3,0.0,0.0,0.0,0.5,0.0,0.0,0.5
Male,18–29,4,4,0.0,0.0,0.0,0.29411764705882354,0.29411764705882354,0.35294117647058826,0.058823529411764705
Male,30–39,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Male,30–39,1,2,0.14285714285714285,0.0,0.0,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.14285714285714285
Male,30–39,1,3,0.1,0.0,0.1,0.4,0.2,0.2,0.0
Male,30–39,1,4,0.0,0.0,0.16666666666666666,0.0,0.5,0.16666666666666666,0.16666666666666666
Male,30–39,2,1,0.16666666666666666,0.0,0.0,0.16666666666666666,0.5,0.0,0.16666666666666666
Male,30–39,2,2,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.36363636363636365,0.18181818181818182
Male,30–39,2,3,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.4166666666666667,0.08333333333333333
Male,30–39,2,4,0.0,0.0,0.0,0.09090909090909091,0.5454545454545454,0.36363636363636365,0.0
Male,30–39,3,1,0.0,0.0,0.5,0.0,0.5,0.0,0.0
Male,30–39,3,2,0.030303030303030304,0.030303030303030304,0.12121212121212122,0.18181818181818182,0.24242424242424243,0.30303030303030304,0.09090909090909091
Male,30–39,3,3,0.02,0.06,0.0,0.26,0.26,0.26,0.14
Male,30–39,3,4,0.0,0.03125,0.09375,0.21875,0.25,0.1875,0.21875
Male,30–39,4,1,0.0,0.0,0.0,0.0,0.5,0.0,0.5
Male,30–39,4,2,0.05555555555555555,0.0,0.05555555555555555,0.16666666666666666,0.2777777777777778,0.3333333333333333,0.1111111111111111
Male,30–39,4,3,0.0,0.0,0.034482758620689655,0.3103448275862069,0.20689655172413793,0.27586206896551724,0.1724137931034483
Male,30–39,4,4,0.0,0.028985507246376812,0.08695652173913043,0.13043478260869565,0.17391304347826086,0.391304347826087,0.18840579710144928
Male,40–49,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Male,40–49,1,2,0.14285714285714285,0.0,0.0,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.14285714285714285
Male,40–49,1,3,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.5,0.0
Male,40–49,1,4,0.0,0.0,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.4444444444444444,0.1111111111111111
Male,40–49,2,1,0.125,0.0,0.125,0.125,0.125,0.125,0.375
Male,40–49,2,2,0.06666666666666667,0.0,0.0,0.26666666666666666,0.13333333333333333,0.26666666666666666,0.26666666666666666
Male,40–49,2,3,0.15384615384615385,0.0,0.0,0.07692307692307693,0.38461538461538464,0.23076923076923078,0.15384615384615385
Male,40–49,2,4,0.0,0.0,0.0,0.0,0.0,0.5,0.5
Male,40–49,3,1,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.2857142857142857,0.42857142857142855
Male,40–49,3,2,0.02040816326530612,0.061224489795918366,0.061224489795918366,0.2653061224489796,0.2653061224489796,0.2653061224489796,0.061224489795918366
Male,40–49,3,3,0.061224489795918366,0.02040816326530612,0.02040816326530612,0.20408163265306123,0.2653061224489796,0.2653061224489796,0.16326530612244897
Male,40–49,3,4,0.0,0.0,0.0625,0.0625,0.3125,0.375,0.1875
Male,40–49,4,1,0.0,0.0,0.0,0.2,0.4,0.4,0.0
Male,40–49,4,2,0.0,0.03125,0.0,0.125,0.375,0.3125,0.15625
Male,40–49,4,3,0.03508771929824561,0.0,0.07017543859649122,0.24561403508771928,0.24561403508771928,0.2807017543859649,0.12280701754385964
Male,40–49,4,4,0.008771929824561403,0.03508771929824561,0.07894736842105263,0.09649122807017543,0.2982456140350877,0.37719298245614036,0.10526315789473684
Male,50–59,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
