nomem_encr,nohouse_encr,diet,theta,beta,alpha
840417,566976,meat,.51481485,.75,.25
840637,565808,meat,.5,.5,.5
840795,532061,meat,.10370366,.5,.5
840808,533248,meat,.11111116,.75,.25
840838,585415,meat,-.94444448,.5,.5
840930,513394,meat,.033333302,.75,.25
840994,554983,meat,.15185182,.75,.25
841082,569796,meat,.15185182,0,1
841201,594647,meat,.95555562,1,0
841223,533450,meat,1,.5,.5
841629,528018,meat,.55555552,.75,.25
841662,546270,meat,.33333334,1,0
842074,573907,meat,.65925914,.75,.25
842098,563168,meat,.29629627,.5,.5
842150,587496,meat,.66666669,.5,.5
842233,550836,meat,.39999995,.5,.5
842242,547808,meat,.26296297,.75,.25
842327,505065,meat,.0074075065,.75,.25
842404,501660,meat,.29629627,.75,.25
842437,500698,meat,.30740738,.75,.25
842596,561654,meat,.34444442,.5,.5
842721,583340,meat,.51111108,.5,.5
842773,520886,meat,.29629627,.75,.25
842837,573907,meat,.52592593,.75,.25
842950,548367,meat,.88888884,.75,.25
843035,587451,meat,.83703709,.5,.5
843286,539205,meat,.28148142,.75,.25
843780,592767,meat,0,1,0
843945,578048,meat,.30740738,.5,.5
844036,575222,veg,1,1,0
844088,536703,meat,-.11851851,.5,.5
844180,561532,meat,.64074069,.75,.25
844241,546627,meat,.37037039,.75,.25
844393,534591,meat,.31851849,1,0
844406,562060,meat,.43703699,.75,.25
844412,548348,meat,.21481483,.25,.75
844442,519781,meat,1,.75,.25
844467,504000,meat,.85185176,1,0
844488,591699,meat,.41851854,.5,.5
844958,510650,meat,.070370354,.5,.5
844964,521084,meat,.20370372,.75,.25
845010,502526,meat,.5,.5,.5
845178,585363,meat,.33333334,.75,.25
845486,509811,meat,.51481467,.5,.5
845492,519558,meat,.18888886,.75,.25
846060,528097,meat,.085185207,.25,.75
846395,579104,meat,.055555504,.75,.25
846636,590188,meat,.4148148,.75,.25
846875,505386,meat,.86666662,.75,.25
846987,542523,meat,.58888894,.75,.25
847338,526138,meat,.37777773,.75,.25
847735,543188,meat,.11111116,.75,.25
848046,543545,meat,.33703694,1,0
848144,537548,meat,.89999992,.25,.75
848147,527709,meat,.54814816,.5,.5
848223,555133,meat,.54074067,.75,.25
848458,575183,meat,.60740739,1,0
848663,518435,meat,.26296297,.75,.25
848693,548690,meat,.60740739,.75,.25
848757,511776,meat,-.17037034,.75,.25
848959,561898,meat,.0222222,.25,.75
849102,547146,meat,.44074073,.5,.5
849136,503213,meat,.33333334,.5,.5
849273,589135,meat,.78148144,.75,.25
849353,557125,meat,.7074073,.75,.25
849920,503213,meat,.32222223,0,1
