event,kind,t,agent,partner,partner_diet,memory_buffer_diet_source_t
65,conv,4561,1969,53.0,veg,"[[""meat"", 1065, 0], [""veg"", 38, 0], [""meat"", 53, 0], [""meat"", 1065, 0], [""meat"", 13, 0], [""meat"", 53, 0], [""meat"", 13, 0], [""veg"", 38, 2151], [""veg"", 53, 4561]]"
66,conv,4573,425,1393.0,meat,"[[""meat"", 332, 0], [""veg"", 1478, 0], [""meat"", 1393, 0], [""meat"", 246, 0], [""veg"", 1478, 0], [""meat"", 32, 0], [""meat"", 332, 661], [""veg"", 1478, 3657], [""meat"", 1393, 4573]]"
67,rev,4596,793,,,
68,conv,4707,1809,330.0,meat,"[[""meat"", 1823, 0], [""meat"", 125, 0], [""meat"", 1823, 0], [""veg"", 433, 0], [""meat"", 1823, 0], [""meat"", 330, 602], [""veg"", 433, 836], [""veg"", 433, 4275], [""meat"", 330, 4707]]"
69,conv,4939,1372,509.0,veg,"[[""meat"", 1, 0], [""meat"", 935, 0], [""meat"", 1, 0], [""veg"", 509, 0], [""meat"", 4, 0], [""veg"", 509, 0], [""meat"", 4, 0], [""veg"", 509, 4072], [""veg"", 509, 4939]]"
70,conv,4964,355,27.0,meat,"[[""veg"", 202, 0], [""meat"", 27, 0], [""meat"", 1130, 0], [""veg"", 202, 0], [""meat"", 1130, 0], [""meat"", 1130, 0], [""veg"", 202, 0], [""veg"", 110, 0], [""meat"", 27, 4964]]"
71,rev,5034,705,,,
72,rev,5054,539,,,
73,conv,5077,653,1309.0,meat,"[[""veg"", 121, 0], [""meat"", 4, 0], [""meat"", 1309, 0], [""veg"", 121, 0], [""veg"", 23, 197], [""veg"", 23, 1636], [""meat"", 4, 2369], [""veg"", 121, 3964], [""meat"", 1309, 5077]]"
74,rev,5128,456,,,
75,conv,5176,1732,23.0,veg,"[[""meat"", 702, 0], [""meat"", 522, 0], [""veg"", 23, 0], [""meat"", 702, 0], [""meat"", 885, 0], [""meat"", 885, 0], [""veg"", 23, 0], [""veg"", 23, 2549], [""veg"", 23, 5176]]"
76,conv,5360,1409,23.0,veg,"[[""meat"", 695, 0], [""meat"", 832, 0], [""meat"", 695, 0], [""veg"", 23, 0], [""veg"", 38, 0], [""veg"", 23, 443], [""meat"", 695, 2879], [""meat"", 1841, 4532], [""veg"", 23, 5360]]"
77,rev,5409,1500,,,
78,rev,5427,1585,,,
79,rev,5451,251,,,
80,conv,5513,754,625.0,veg,"[[""meat"", 1077, 0], [""meat"", 1077, 0], [""veg"", 328, 0], [""veg"", 328, 0], [""meat"", 1677, 0], [""meat"", 256, 0], [""meat"", 567, 0], [""veg"", 625, 0], [""veg"", 625, 5513]]"
81,conv,5521,1716,114.0,meat,"[[""meat"", 1445, 0], [""veg"", 508, 0], [""meat"", 1445, 0], [""meat"", 114, 0], [""meat"", 1445, 0], [""meat"", 1445, 642], [""meat"", 114, 1826], [""veg"", 508, 3603], [""meat"", 114, 5521]]"
82,rev,5546,319,,,
83,conv,5625,836,178.0,veg,"[[""meat"", 1039, 0], [""meat"", 467, 0], [""meat"", 220, 0], [""meat"", 1039, 0], [""veg"", 178, 0], [""meat"", 220, 0], [""meat"", 1039, 0], [""meat"", 220, 2751], [""veg"", 178, 5625]]"
84,conv,5651,902,1518.0,meat,"[[""veg"", 266, 0], [""veg"", 266, 0], [""meat"", 22, 0], [""meat"", 1305, 0], [""meat"", 449, 0], [""meat"", 449, 0], [""meat"", 22, 0], [""meat"", 1305, 5522], [""meat"", 1518, 5651]]"
85,rev,5708,836,,,
86,rev,5993,1190,,,
87,conv,6208,738,1181.0,veg,"[[""meat"", 190, 0], [""veg"", 1181, 0], [""meat"", 8, 0], [""meat"", 190, 0], [""veg"", 1181, 0], [""meat"", 279, 0], [""meat"", 279, 537], [""meat"", 279, 1321], [""veg"", 1181, 6208]]"
88,conv,6226,734,102.0,meat,"[[""veg"", 684, 0], [""veg"", 684, 0], [""meat"", 59, 0], [""meat"", 78, 0], [""meat"", 102, 0], [""meat"", 59, 0], [""veg"", 684, 1320], [""meat"", 59, 3036], [""meat"", 102, 6226]]"
89,rev,6354,1308,,,
90,rev,6400,366,,,
91,conv,6564,390,489.0,meat,"[[""veg"", 455, 0], [""meat"", 234, 0], [""veg"", 110, 0], [""meat"", 234, 0], [""veg"", 110, 0], [""veg"", 366, 0], [""meat"", 27, 0], [""meat"", 27, 0], [""meat"", 489, 6564]]"
92,conv,6675,1337,460.0,meat,"[[""veg"", 38, 0], [""meat"", 460, 0], [""veg"", 38, 0], [""meat"", 757, 0], [""meat"", 645, 0], [""meat"", 645, 0], [""meat"", 645, 0], [""meat"", 757, 5598], [""meat"", 460, 6675]]"
93,conv,6910,275,620.0,veg,"[[""meat"", 1148, 0], [""veg"", 1996, 0], [""meat"", 846, 0], [""meat"", 551, 0], [""veg"", 1996, 0], [""meat"", 1148, 0], [""meat"", 981, 2167], [""veg"", 69, 3916], [""veg"", 620, 6910]]"
94,conv,6956,1660,771.0,meat,"[[""meat"", 771, 0], [""veg"", 736, 0], [""meat"", 771, 0], [""meat"", 771, 0], [""veg"", 736, 0], [""veg"", 736, 0], [""veg"", 291, 0], [""meat"", 175, 0], [""meat"", 771, 6956]]"
95,conv,7260,1253,115.0,veg,"[[""meat"", 1701, 0], [""meat"", 4, 0], [""meat"", 190, 0], [""veg"", 115, 0], [""meat"", 1701, 0], [""veg"", 115, 0], [""meat"", 397, 668], [""veg"", 115, 1967], [""veg"", 115, 7260]]"
96,conv,7578,847,177.0,veg,"[[""meat"", 648, 0], [""meat"", 648, 0], [""veg"", 177, 0], [""meat"", 762, 0], [""veg"", 177, 0], [""meat"", 648, 0], [""meat"", 574, 0], [""meat"", 762, 364], [""veg"", 177, 7578]]"
97,conv,7603,1937,620.0,veg,"[[""meat"", 225, 0], [""veg"", 620, 0], [""meat"", 1347, 0], [""meat"", 225, 0], [""meat"", 1559, 0], [""meat"", 225, 835], [""meat"", 1559, 1274], [""veg"", 1347, 7177], [""veg"", 620, 7603]]"
98,rev,7614,1900,,,
99,rev,7888,316,,,
100,rev,8123,1372,,,
101,conv,8252,860,1.0,meat,"[[""meat"", 1, 0], [""meat"", 329, 0], [""meat"", 329, 0], [""meat"", 329, 0], [""meat"", 1, 0], [""veg"", 623, 0], [""meat"", 1, 548], [""veg"", 623, 7375], [""meat"", 1, 8252]]"
102,rev,8275,1155,,,
103,rev,8435,595,,,
104,conv,8802,1565,10.0,veg,"[[""meat"", 1230, 0], [""meat"", 1230, 0], [""meat"", 1044, 0], [""veg"", 10, 0], [""veg"", 10, 877], [""veg"", 10, 4957], [""meat"", 820, 5567], [""veg"", 10, 8026], [""veg"", 10, 8802]]"
105,conv,8860,807,1442.0,veg,"[[""veg"", 38, 0], [""veg"", 38, 0], [""meat"", 616, 0], [""veg"", 1442, 0], [""meat"", 1482, 0], [""meat"", 616, 0], [""meat"", 616, 151], [""meat"", 616, 8625], [""veg"", 1442, 8860]]"
106,conv,9015,1306,853.0,veg,"[[""meat"", 354, 0], [""veg"", 853, 0], [""meat"", 912, 0], [""meat"", 354, 0], [""meat"", 912, 0], [""meat"", 354, 0], [""meat"", 354, 0], [""veg"", 853, 0], [""veg"", 853, 9015]]"
107,conv,9041,595,11.0,veg,"[[""veg"", 11, 0], [""veg"", 378, 0], [""meat"", 927, 0], [""veg"", 378, 0], [""meat"", 927, 2842], [""veg"", 11, 6950], [""meat"", 927, 7410], [""meat"", 52, 8435], [""veg"", 11, 9041]]"
108,conv,9086,904,97.0,meat,"[[""meat"", 1377, 0], [""meat"", 97, 0], [""meat"", 97, 0], [""meat"", 3, 0], [""meat"", 96, 0], [""meat"", 1397, 0], [""meat"", 3, 0], [""meat"", 3, 691], [""meat"", 97, 9086]]"
109,conv,9159,836,220.0,meat,"[[""meat"", 220, 0], [""meat"", 1039, 0], [""veg"", 178, 0], [""meat"", 220, 0], [""meat"", 1039, 0], [""meat"", 220, 2751], [""veg"", 178, 5625], [""meat"", 467, 5708], [""meat"", 220, 9159]]"
110,conv,9209,183,135.0,meat,"[[""meat"", 617, 0], [""meat"", 1584, 0], [""meat"", 1546, 0], [""veg"", 606, 0], [""meat"", 398, 0], [""meat"", 462, 0], [""meat"", 1546, 0], [""meat"", 770, 8412], [""meat"", 135, 9209]]"
111,conv,9277,1555,121.0,veg,"[[""meat"", 1709, 0], [""meat"", 749, 0], [""meat"", 749, 0], [""meat"", 749, 0], [""veg"", 121, 0], [""veg"", 121, 0], [""meat"", 1709, 5003], [""veg"", 121, 6422], [""veg"", 121, 9277]]"
112,conv,9297,644,80.0,meat,"[[""meat"", 80, 0], [""meat"", 1850, 0], [""veg"", 135, 0], [""meat"", 80, 0], [""veg"", 135, 0], [""meat"", 135, 792], [""meat"", 80, 4859], [""meat"", 1850, 7493], [""meat"", 80, 9297]]"
113,rev,9369,734,,,
114,conv,9476,251,24.0,meat,"[[""meat"", 1608, 0], [""veg"", 115, 0], [""meat"", 1575, 0], [""meat"", 448, 0], [""meat"", 1608, 0], [""meat"", 1625, 5451], [""meat"", 162, 5995], [""meat"", 24, 8452], [""meat"", 24, 9476]]"
115,rev,9575,1267,,,
116,rev,9712,183,,,
117,conv,9972,316,15.0,meat,"[[""veg"", 1246, 0], [""meat"", 1369, 0], [""veg"", 63, 0], [""meat"", 1293, 0], [""meat"", 1293, 0], [""meat"", 1791, 0], [""meat"", 1369, 4782], [""meat"", 15, 7888], [""meat"", 15, 9972]]"
118,conv,10000,1777,1401.0,meat,"[[""meat"", 1771, 0], [""meat"", 1771, 0], [""meat"", 712, 1319], [""meat"", 757, 1582], [""meat"", 1401, 3106], [""meat"", 1771, 6047], [""meat"", 712, 6498], [""meat"", 712, 7736], [""meat"", 1401, 10000]]"
119,conv,10012,1986,1215.0,veg,"[[""meat"", 198, 0], [""meat"", 198, 0], [""meat"", 136, 0], [""meat"", 317, 0], [""meat"", 317, 0], [""veg"", 1215, 0], [""meat"", 198, 1655], [""veg"", 1215, 9019], [""veg"", 1215, 10012]]"
120,rev,10074,1377,,,
121,rev,10129,1575,,,
122,conv,10147,1892,886.0,meat,"[[""meat"", 167, 0], [""meat"", 58, 0], [""meat"", 167, 0], [""meat"", 1376, 0], [""meat"", 886, 0], [""meat"", 1376, 2844], [""meat"", 58, 4200], [""meat"", 1376, 7171], [""meat"", 886, 10147]]"
123,conv,10154,1000,446.0,meat,"[[""meat"", 446, 0], [""meat"", 267, 0], [""meat"", 147, 0], [""meat"", 147, 0], [""meat"", 20, 3810], [""meat"", 446, 3908], [""meat"", 20, 7906], [""meat"", 20, 9030], [""meat"", 446, 10154]]"
124,conv,10279,195,10.0,veg,"[[""meat"", 1294, 0], [""meat"", 1294, 0], [""meat"", 1344, 0], [""meat"", 232, 0], [""meat"", 1344, 0], [""veg"", 10, 0], [""veg"", 185, 0], [""meat"", 232, 6364], [""veg"", 10, 10279]]"
125,conv,10318,559,508.0,veg,"[[""meat"", 834, 0], [""veg"", 508, 0], [""meat"", 834, 0], [""veg"", 508, 217], [""veg"", 508, 482], [""meat"", 29, 3549], [""meat"", 72, 3931], [""veg"", 508, 9955], [""veg"", 508, 10318]]"
126,rev,10376,653,,,
127,rev,10398,1809,,,
128,conv,10472,313,10.0,veg,"[[""meat"", 1065, 0], [""meat"", 414, 0], [""veg"", 10, 0], [""meat"", 1065, 0], [""meat"", 414, 0], [""meat"", 1536, 6678], [""veg"", 10, 7263], [""veg"", 727, 7473], [""veg"", 10, 10472]]"
129,rev,10557,251,,,
130,rev,10669,737,,,
131,conv,10995,1835,156.0,veg,"[[""meat"", 107, 0], [""meat"", 669, 0], [""veg"", 156, 0], [""meat"", 669, 0], [""meat"", 107, 0], [""veg"", 156, 0], [""veg"", 156, 7130], [""veg"", 156, 9517], [""veg"", 156, 10995]]"
132,conv,11013,1445,1913.0,meat,"[[""meat"", 1840, 0], [""meat"", 114, 0], [""meat"", 114, 0], [""meat"", 297, 0], [""meat"", 297, 0], [""meat"", 1913, 376], [""meat"", 1840, 6836], [""veg"", 508, 8564], [""meat"", 1913, 11013]]"
133,conv,11225,1308,210.0,veg,"[[""meat"", 280, 0], [""veg"", 210, 0], [""veg"", 1267, 0], [""meat"", 280, 0], [""veg"", 1267, 0], [""veg"", 210, 2031], [""meat"", 1707, 6135], [""veg"", 210, 6354], [""veg"", 210, 11225]]"
134,conv,11242,1372,509.0,veg,"[[""meat"", 1, 0], [""veg"", 509, 0], [""meat"", 4, 0], [""veg"", 509, 0], [""meat"", 4, 0], [""veg"", 509, 4072], [""veg"", 509, 4939], [""meat"", 935, 8123], [""veg"", 509, 11242]]"
135,rev,11337,1599,,,
136,conv,11725,1056,946.0,meat,"[[""meat"", 1454, 0], [""meat"", 777, 0], [""meat"", 946, 0], [""meat"", 949, 0], [""meat"", 949, 0], [""meat"", 946, 0], [""meat"", 777, 0], [""meat"", 949, 9082], [""meat"", 946, 11725]]"
137,rev,11764,355,,,
138,rev,11774,571,,,
139,conv,11911,653,121.0,veg,"[[""veg"", 23, 197], [""veg"", 23, 1636], [""meat"", 4, 2369], [""veg"", 121, 3964], [""meat"", 1309, 5077], [""meat"", 9, 5204], [""veg"", 121, 5929], [""meat"", 9, 10376], [""veg"", 121, 11911]]"
140,rev,12371,1347,,,
141,rev,12523,1000,,,
142,rev,12541,71,,,
143,conv,12544,374,148.0,meat,"[[""meat"", 76, 0], [""meat"", 1325, 0], [""meat"", 76, 0], [""meat"", 78, 0], [""meat"", 148, 0], [""meat"", 78, 0], [""meat"", 76, 3432], [""meat"", 78, 11123], [""meat"", 148, 12544]]"
144,conv,12620,649,1264.0,meat,"[[""meat"", 153, 0], [""veg"", 1220, 0], [""veg"", 178, 0], [""veg"", 178, 614], [""meat"", 1264, 6265], [""veg"", 178, 7210], [""veg"", 178, 8321], [""meat"", 866, 9857], [""meat"", 1264, 12620]]"
145,rev,12643,1732,,,
146,conv,12704,261,331.0,veg,"[[""veg"", 71, 0], [""meat"", 1423, 0], [""meat"", 68, 2955], [""meat"", 68, 2959], [""meat"", 68, 4406], [""meat"", 1156, 5939], [""meat"", 39, 6245], [""veg"", 331, 6952], [""veg"", 331, 12704]]"
147,rev,12730,559,,,
148,conv,12752,1003,1769.0,veg,"[[""meat"", 1185, 0], [""meat"", 1637, 0], [""meat"", 181, 0], [""meat"", 820, 0], [""veg"", 10, 0], [""veg"", 1769, 2625], [""meat"", 1137, 7268], [""meat"", 181, 12737], [""veg"", 1769, 12752]]"
149,conv,12775,634,1471.0,veg,"[[""veg"", 1471, 0], [""veg"", 11, 0], [""meat"", 285, 0], [""veg"", 11, 0], [""meat"", 75, 0], [""meat"", 1865, 0], [""meat"", 1865, 0], [""meat"", 75, 0], [""veg"", 1471, 12775]]"
150,conv,12849,512,583.0,veg,"[[""meat"", 820, 0], [""veg"", 1962, 0], [""veg"", 583, 0], [""meat"", 59, 0], [""meat"", 556, 0], [""meat"", 820, 2947], [""meat"", 170, 7442], [""meat"", 868, 7861], [""veg"", 583, 12849]]"
151,conv,12907,1476,998.0,meat,"[[""meat"", 547, 0], [""meat"", 998, 0], [""meat"", 998, 0], [""meat"", 547, 0], [""meat"", 189, 969], [""meat"", 189, 8374], [""meat"", 189, 10033], [""meat"", 189, 11828], [""meat"", 998, 12907]]"
152,conv,12930,355,110.0,veg,"[[""meat"", 1130, 0], [""veg"", 202, 0], [""veg"", 110, 0], [""meat"", 27, 4964], [""veg"", 110, 9968], [""veg"", 202, 10061], [""veg"", 110, 10416], [""meat"", 27, 11764], [""veg"", 110, 12930]]"
153,conv,13487,1585,907.0,veg,"[[""veg"", 907, 0], [""meat"", 4, 0], [""meat"", 1358, 0], [""meat"", 4, 0], [""veg"", 907, 3666], [""meat"", 651, 5427], [""veg"", 1358, 5653], [""meat"", 4, 6706], [""veg"", 907, 13487]]"
154,rev,13492,807,,,
155,rev,13780,1476,,,
