run,t,n_meat,n_adopted,n_pos,adopt_pr2_psych,amp_r2_psych,adopt_pr2_topo,amp_r2_topo,adopt_pr2_full,amp_r2_full,ratio_psych,ratio_topo,ratio_full,amp_coef_degree,amp_sig_degree,ado_coef_degree,ado_sig_degree,amp_rho_degree,amp_rho_sig_degree,ado_rpb_degree,ado_rpb_sig_degree,amp_coef_betweenness,amp_sig_betweenness,ado_coef_betweenness,ado_sig_betweenness,amp_rho_betweenness,amp_rho_sig_betweenness,ado_rpb_betweenness,ado_rpb_sig_betweenness,amp_coef_eigenvector,amp_sig_eigenvector,ado_coef_eigenvector,ado_sig_eigenvector,amp_rho_eigenvector,amp_rho_sig_eigenvector,ado_rpb_eigenvector,ado_rpb_sig_eigenvector,amp_coef_clustering,amp_sig_clustering,ado_coef_clustering,ado_sig_clustering,amp_rho_clustering,amp_rho_sig_clustering,ado_rpb_clustering,ado_rpb_sig_clustering,amp_coef_complex_cent,amp_sig_complex_cent,ado_coef_complex_cent,ado_sig_complex_cent,amp_rho_complex_cent,amp_rho_sig_complex_cent,ado_rpb_complex_cent,ado_rpb_sig_complex_cent,amp_coef_rho,amp_sig_rho,ado_coef_rho,ado_sig_rho,amp_rho_rho,amp_rho_sig_rho,ado_rpb_rho,ado_rpb_sig_rho,amp_coef_alpha,amp_sig_alpha,ado_coef_alpha,ado_sig_alpha,amp_rho_alpha,amp_rho_sig_alpha,ado_rpb_alpha,ado_rpb_sig_alpha,amp_coef_theta,amp_sig_theta,ado_coef_theta,ado_sig_theta,amp_rho_theta,amp_rho_sig_theta,ado_rpb_theta,ado_rpb_sig_theta,n_isolated_with_credit,b,b_lo,b_hi,b_sublinear,b_superlinear
17,310000,1880,1376,1665,0.0665765942860162,0.0291268369509908,0.0045888295815865,0.2760628270104462,0.0703620158733516,0.3023848188733365,0.4374936456776466,60.1597470775976,4.297557639872273,1.427233782655854,True,-0.2967804626900232,False,0.5529519825784881,True,0.0373062467956959,False,-0.7990684820971206,True,0.4863036901168344,False,0.5082653745028856,True,0.0419112840011708,False,-0.1696106706630441,True,-0.043042994436126,False,0.2968513210897665,True,0.0262472311132822,False,-0.1409774817479867,True,-0.1280228346543242,False,-0.4363315113430217,True,-0.0362285333178737,False,0.0535058603740459,False,0.0679363692144262,False,-0.259448599576942,True,0.0126334160990892,False,0.0853974814312692,True,0.3910648911055098,True,0.1238453959000421,True,0.2063338118824118,True,0.1444084993650911,True,-0.2417338092711716,True,0.1437915853081638,True,-0.0798326720957182,True,0.0915567301664155,True,0.3899190892923913,True,0.0884108092395836,True,0.207465501121306,True,0,1.1359960063854888,1.0494660732165615,1.222525939554416,False,True
18,310000,1880,1358,1671,0.0589850690001012,0.0271709988038408,0.0012975605858767,0.318014837436159,0.0605158114502301,0.3428007970265649,0.4606419771043116,245.0866964499301,5.664648441647253,1.4448314331940089,True,-0.3360255092170585,False,0.5835030026929152,True,0.0038786483113007,False,-0.9739527926270763,True,0.2485525620007239,False,0.5089917742960557,True,0.0143958063180686,False,-0.0192128739685694,False,0.1232267112824369,False,0.327574149974299,True,0.0099087980513606,False,-0.1719110610104529,True,-0.0451733823545977,False,-0.4160569499459833,True,0.0077645626955751,False,0.0769527977183929,True,0.0560851332979037,False,-0.2715546250509449,True,0.0154239036210897,False,0.0462658663892842,False,0.3278394688700762,True,0.1021900101300011,True,0.1847067022439964,True,0.158614325113566,True,-0.2176988694364397,True,0.1584565101704575,True,-0.0709760816575941,True,0.080577540169042,True,0.4053683499391945,True,0.0808398309427443,True,0.2103147818004416,True,0,1.1618758761204209,1.0827897033215348,1.240962048919307,False,True
19,310000,1880,1318,1649,0.0677680998287904,0.0231206125705895,0.0042858635658429,0.307299794219344,0.0722214270148245,0.3290718494586594,0.3411725078466345,71.7007878338529,4.556429622902802,1.614416402337683,True,-0.0409690986797296,False,0.5621255449438681,True,0.038603305355548,False,-0.9747528059660489,True,0.0138661717702861,False,0.484921789385203,True,0.0398831892284788,False,-0.1541236353619759,True,0.1590638585123334,False,0.2589741596313687,True,0.0522415470755643,True,-0.0891477741817879,True,0.0832086671895414,False,-0.4212099093835031,True,-0.0046695667552617,False,0.0523344169330028,False,-0.1088294974990048,False,-0.2161155201233263,True,-0.0539965698722255,True,0.0491171285708955,False,0.3157385215763199,True,0.0807869823650226,True,0.1870598636535266,True,0.1440070357005081,True,-0.2613572023442949,True,0.1416265114299267,True,-0.0896599162918522,True,0.0884103733768059,True,0.4598143843511437,True,0.1107843423091007,True,0.2312367804169687,True,1,1.2013419553191689,1.1177127269951856,1.284971183643152,False,True
20,310000,1880,1401,1776,0.0792202373893495,0.0365370892879992,0.0015472495778058,0.3527028103006046,0.0801531276996019,0.3797574760373209,0.461209035620882,227.9546980395856,4.737899654528477,1.573720833893541,True,0.1614857206089725,False,0.6117622512563807,True,0.0283757277128816,False,-0.9655454065004714,True,-0.1684434111597658,False,0.5379326869675887,True,0.0164109752850725,False,-0.1462694616179309,True,0.0571083399839892,False,0.3095157726385384,True,0.0214161858057693,False,-0.0860982792354103,True,-0.005042161609028,False,-0.4351854236949265,True,-0.0281999711504971,False,0.038647410787778,False,0.0047222356841857,False,-0.2686195130673555,True,-0.0167327950493967,False,0.0503466265388257,True,0.4089478727579155,True,0.1040260035312245,True,0.2045428750592859,True,0.1467220506203002,True,-0.4165237909843314,True,0.1466177089102402,True,-0.1396396187041723,True,0.0846833277851667,True,0.386633765701851,True,0.1077233859967029,True,0.1957728587471469,True,1,1.163050488850998,1.0934593312329728,1.2326416464690233,False,True
21,310000,1880,1341,1628,0.0591755942529897,0.0362065900238405,0.0012995881305232,0.2937491003589991,0.0602817326226201,0.3270370957810363,0.6118500452914543,226.03245863805645,5.425144261004847,1.3563775453154998,True,-0.0695669602510214,False,0.557901146537957,True,-0.0236003175304391,False,-0.8721212829331206,True,-0.0124126252223073,False,0.4891896466712815,True,-0.0244059258351269,False,-0.0432118882099006,False,-0.0003667779567394,False,0.2993118473598087,True,-0.0194111483437599,False,-0.2035189113279572,True,-0.0299826484727379,False,-0.4446318864256257,True,-0.0076126347771096,False,0.1116810174221714,True,-0.0414307195428907,False,-0.2534483008620848,True,-0.0237564502229781,False,0.0450808180839826,False,0.3539160023041807,True,0.1017586442228099,True,0.1895604448506676,True,0.1524254456789918,True,-0.2872322475910239,True,0.1463744051956713,True,-0.1018764208280733,True,0.1487209888896519,True,0.3508614988782517,True,0.1315589836765172,True,0.1890217072494796,True,0,1.166497554263679,1.0809575059934278,1.2520376025339304,False,True
22,310000,1880,1336,1632,0.0715238062873795,0.0379453635108779,0.0014217553824783,0.2803858929941282,0.072733516288615,0.3125916949031312,0.5305277428666918,197.21106489174664,4.297766846067653,1.3336195118514411,True,-0.1816000998264352,False,0.5372210957027729,True,0.013011724470999,False,-0.8838898633077632,True,0.0388453846680979,False,0.4898752749532801,True,0.0125751316463257,False,-0.0048197688749015,False,0.154937536163047,False,0.3128848251689207,True,0.0231020930188296,False,-0.1386572383765155,True,-0.0659432513698017,False,-0.4162229855608405,True,-0.0276269584710408,False,0.0524968962184443,False,-0.0041934408130652,False,-0.2589057944356991,True,-0.0234901937641594,False,0.0482689109946756,False,0.3446190763139604,True,0.0905276447676765,True,0.1974285215865349,True,0.1595867279588823,True,-0.2825767305968986,True,0.1752871322134661,True,-0.0959395940420697,True,0.1264520130167339,True,0.4501314675724305,True,0.101020096729244,True,0.2281708334696699,True,0,1.1103425434366467,1.0266287155947498,1.1940563712785437,False,True
23,310000,1880,1353,1779,0.0758095550628259,0.0318084920908268,0.0022577663300983,0.3884406465184028,0.0787828088636692,0.4144359675249622,0.4195842076169163,172.04643427448278,5.260487325885121,1.4292981348829392,True,0.0294052929160475,False,0.6274203217623816,True,-0.0279752457052686,False,-1.0171528941040664,True,-0.1189491187729381,False,0.5571027987449462,True,-0.0290841832438111,False,0.0695617398304825,False,0.0491439106414531,False,0.3435567010913526,True,-0.0261048232869934,False,-0.1177932665020441,True,0.051490414664304,False,-0.4548884677630524,True,0.0283701321789787,False,0.0694594115740557,True,0.0910818074922192,False,-0.2991474644842777,True,0.0431790339682917,False,0.0604179438735597,True,0.3846771745989824,True,0.110860802662617,True,0.1992958232217575,True,0.1476452838953539,True,-0.4054025002152048,True,0.1585268338074282,True,-0.1404812053032375,True,0.0569716458648859,True,0.3943701504502826,True,0.0814481710607816,True,0.2006108926944146,True,0,1.2203040571656338,1.154621411498131,1.2859867028331369,False,True
24,310000,1880,1377,1748,0.0616649689414616,0.0381801263986201,0.0022405377543147,0.3534415966119155,0.0639794829035488,0.3822463732378521,0.6191542305788619,157.7485565379417,5.974514889626431,1.384853917674798,True,-0.330922941201652,False,0.6195237336542212,True,0.0192969307942609,False,-0.9032549828053222,True,0.447263468839287,False,0.5659371117448492,True,0.0295156696002959,False,-0.0355777900259601,False,-0.0278777550758353,False,0.3566374051431895,True,0.0179075371940371,False,-0.1752994916817479,True,-0.0801203650250124,False,-0.4746274796173227,True,-0.0108964914842388,False,0.0619734778819733,True,-0.021450544990147,False,-0.308521807842352,True,-0.0147355584057811,False,0.0965655296616786,True,0.3758135644058262,True,0.1385136300531399,True,0.1909622157519268,True,0.1414677288147144,True,-0.3262605322792102,True,0.1750388173097877,True,-0.1151844688108424,True,0.0670169389176722,True,0.3345516947291861,True,0.0953408358287871,True,0.1779873257592214,True,0,1.2083572579346529,1.1365121292139435,1.2802023866553622,False,True
25,310000,1880,1393,1707,0.0666551271209496,0.0394557185080638,0.0024771879449045,0.3320784702292914,0.0703663467379813,0.3631521715131017,0.5919382380963598,134.0546125748571,5.160878578297494,1.396115607744175,True,-0.3607907889747472,True,0.5755026023993068,True,-0.0396036909101435,False,-0.8159007484598664,True,0.034270630839131,False,0.5286773472768733,True,-0.0362732436707143,False,-0.1893326057606305,True,0.2233869348105556,False,0.3093541387500571,True,-0.0274148381829337,False,-0.1771625739113786,True,-0.1015433767785886,False,-0.4660027861651725,True,-0.0082824947485376,False,-0.0062139634126527,False,0.0458480342331638,False,-0.2876407918766339,True,0.0084207675489132,False,0.0579952117079276,True,0.3424233401216519,True,0.1015204022485746,True,0.1785526550147003,True,0.1507294742646414,True,-0.3815536514737999,True,0.1624710820600439,True,-0.1296862644828333,True,0.1046526152572561,True,0.3866680954472524,True,0.1014045288179976,True,0.1906270262272918,True,0,1.1154808225201251,1.040576641677769,1.1903850033624812,False,True
26,310000,1880,1392,1803,0.0830247162914242,0.0279685550131641,0.0008812699247997,0.3526516345247017,0.0835306183248387,0.3781215202852916,0.336870226873068,400.163019979188,4.526741545415485,1.442828890276433,True,-0.0408643101152717,False,0.60309700359304,True,0.0159512489284244,False,-0.9833714970693068,True,-0.0408991970763831,False,0.5420523281140079,True,0.0124763734104314,False,0.0056525122797076,False,0.1081793538844255,False,0.3406703636227119,True,0.0238606792009505,False,-0.1260498423517217,True,0.0159355202282304,False,-0.4504452635994861,True,-0.0001608974837212,False,0.0824503048911361,True,-0.020559785988612,False,-0.2967188063973455,True,-0.0083474362342428,False,0.0415684108649782,False,0.3923460539424022,True,0.0969810296394611,True,0.200909087022868,True,0.1283469239174157,True,-0.4417235050596456,True,0.1474045517982869,True,-0.14829994483266,True,0.1050328240742646,True,0.4144741924650774,True,0.0830876968157575,True,0.2049662212785912,True,0,1.175733014221844,1.106660795149726,1.244805233293962,False,True
27,310000,1880,1376,1775,0.0865648543126978,0.037568003641224,0.0040744325960939,0.3775984477709744,0.0908748325910727,0.4027658545446462,0.4339867945196012,92.67509987352992,4.4320945971592645,1.278653025072681,True,-0.0464180963015252,False,0.6191375279839938,True,0.0367487887546281,False,-0.7909216414798553,True,0.1229405115932477,False,0.5565151327938651,True,0.0402494141565069,False,-0.040224823430807,False,0.1399599978949138,False,0.351216793432523,True,0.0389359605116938,False,-0.1827460583820249,True,0.122462253796295,False,-0.507320434038788,True,0.0327823459988526,False,0.0252627170033973,False,0.0494649755940647,False,-0.3239865163027407,True,-0.0068395295083419,False,0.0672597958486492,True,0.4235579451299323,True,0.1176177315328464,True,0.2117355607962077,True,0.1183136496072558,True,-0.4779492573764352,True,0.159159140278377,True,-0.1613533323626696,True,0.0949108929001791,True,0.3956404290258332,True,0.1264206744977753,True,0.194904427914379,True,1,1.1920627294016344,1.1243887673593522,1.2597366914439163,False,True
28,310000,1880,1339,1735,0.0816957142716566,0.0384499929006409,0.0010396021690227,0.3457413378943964,0.0826623891805218,0.3752139566760464,0.4706488368874051,332.5708123708467,4.539113379080265,1.347976634999378,True,0.0687503988607722,False,0.5702879994277006,True,0.0019078979789061,False,-0.7988827121519319,True,-0.009150638432176,False,0.5171473310198779,True,0.0010574382032342,False,-0.1464153601015747,True,-0.0543095282679352,False,0.2834239792631093,True,-0.0007979077849508,False,-0.2063194090119685,True,0.09201459438929,False,-0.475469436433624,True,0.0266335233182889,False,-0.0132187663241928,False,-0.0471870576690134,False,-0.2727996164694582,True,0.0020333888933395,False,0.0774380202543912,True,0.3604385475431796,True,0.1240277948472962,True,0.1998469863758527,True,0.1366722816710498,True,-0.3948034505145918,True,0.1501792030040534,True,-0.134691811813272,True,0.1023911257953422,True,0.4570691096049938,True,0.1161178710372742,True,0.2267177861408673,True,0,1.1522200717820552,1.0768948972490513,1.2275452463150591,False,True
29,310000,1880,1394,1778,0.082373129730156,0.0430398415624321,0.0014575083879431,0.3870712104612348,0.0838232915922796,0.4254822211516026,0.5224985587342035,265.57048567485907,5.075942653518879,1.3462234419478918,True,0.0611567987052075,False,0.625978166856942,True,0.0290957847742522,False,-0.8612268697804764,True,0.0910500747819123,False,0.5650541896740465,True,0.030609346685318,False,-0.0148914434591089,False,-0.0581918384221497,False,0.3542240618957136,True,0.0241771529064358,False,-0.1462693773847638,True,0.083689876114418,False,-0.465641158556007,True,0.0082513203911958,False,0.1044448270439366,True,-0.0537246709921605,False,-0.29396723592468,True,-0.0034881769926564,False,0.0390037407667018,False,0.4661229566390623,True,0.1019352149783734,True,0.2231154256589969,True,0.1698709440821948,True,-0.4060665658556309,True,0.1615268088981721,True,-0.1365568818221862,True,0.1059369731857313,True,0.3591112929997844,True,0.1107304374676055,True,0.1903427952108086,True,0,1.170962907105854,1.106179699678076,1.235746114533632,False,True
30,310000,1880,1381,1759,0.0822283502849597,0.0452190324704354,0.0015760971417732,0.3782135900107658,0.0836196168093448,0.41672147421503,0.549920219896548,239.96845117379823,4.983537238219678,1.3821965007457755,True,0.1100201692564411,False,0.6074323186567255,True,-0.0105058954769994,False,-0.907820432468432,True,-0.057318984526524,False,0.5418386230412982,True,-0.0175496151333635,False,0.0164127083136557,False,-0.1077516180935318,False,0.3507413691952931,True,-0.0093078970675651,False,-0.1469894052613459,True,0.043222866388899,False,-0.4616478591205429,True,0.0027230288315248,False,0.0662610628898542,True,-0.0993474407146279,False,-0.3169875455477575,True,-0.0288315997396818,False,0.0582916080513874,True,0.3513805482788148,True,0.1083994629235831,True,0.191600969481435,True,0.1497524473160499,True,-0.419831175380743,True,0.1700412796268254,True,-0.1398536378076567,True,0.1355109441967984,True,0.4585630618470285,True,0.145749987278919,True,0.2214857042400139,True,1,1.2195807456740697,1.1498688301623752,1.2892926611857642,False,True
31,310000,1880,1375,1786,0.081487234438272,0.0325790673812604,0.002622211514738,0.383986492156509,0.0838073557622155,0.4080579471585994,0.3998057806948853,146.43612462164972,4.868999188047071,1.4778182070481696,True,-0.3135527044945665,False,0.6169206084064717,True,-0.0089715469344504,False,-0.9207575603773293,True,0.3940904448973159,False,0.5603230635175922,True,0.0098695210195608,False,-0.1310334158831978,True,-0.0843151040166584,False,0.3330837299416997,True,-0.0086895160127427,False,-0.1527133453696808,True,-0.0267016962515865,False,-0.4837923326095081,True,0.007372480243304,False,0.0337059966007972,False,-0.0064632224304439,False,-0.2896447490744326,True,0.0106291147352333,False,0.0372821963360454,False,0.4246856451002984,True,0.0721124476718507,True,0.204141954939505,True,0.1512960948377166,True,-0.5019919381751622,True,0.1767821566225128,True,-0.1763884735478986,True,0.0626836522860994,True,0.3187249570962986,True,0.0905081821387762,True,0.1644194453243605,True,0,1.1976920999810017,1.130284235822022,1.265099964139981,False,True
